"filename", "language", "JSON", "pip requirements", "PostCSS", "JavaScript", "JavaScript JSX", "Python", "Ini", "HTML", "XML", "Markdown", "comment", "blank", "total"
"d:\vscodeProjects\arena-fastapi\backend\app\models\user.py", "Python", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 10, 15, 61
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\contest.py", "Python", 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, -3, -21
"d:\vscodeProjects\arena-fastapi\backend\app\repositories\task.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"d:\vscodeProjects\arena-fastapi\backend\app\routes\admin.py", "Python", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"d:\vscodeProjects\arena-fastapi\backend\app\routes\auth.py", "Python", 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -2, -2, -11
"d:\vscodeProjects\arena-fastapi\backend\app\routes\contests.py", "Python", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, -12, 12, 35
"d:\vscodeProjects\arena-fastapi\backend\app\routes\solution.py", "Python", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 9, 53
"d:\vscodeProjects\arena-fastapi\backend\app\routes\tasks.py", "Python", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 1, 15, 127
"d:\vscodeProjects\arena-fastapi\backend\app\routes\test_roles.py", "Python", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -7, -26
"d:\vscodeProjects\arena-fastapi\backend\app\routes\users.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, -1, 7
"d:\vscodeProjects\arena-fastapi\backend\app\scheduler\scheduler.py", "Python", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 13, 42
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\auth.py", "Python", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\contest.py", "Python", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\task.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, -4, 5
"d:\vscodeProjects\arena-fastapi\backend\app\schemas\user.py", "Python", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, -2, 3, 11
"d:\vscodeProjects\arena-fastapi\backend\app\services\admin_service.py", "Python", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 20, 76
"d:\vscodeProjects\arena-fastapi\backend\app\services\auth.py", "Python", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 14, 67
"d:\vscodeProjects\arena-fastapi\backend\app\services\contest_service.py", "Python", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 7, 74, 267
"d:\vscodeProjects\arena-fastapi\backend\app\services\scoring.py", "Python", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 31, 27, 140
"d:\vscodeProjects\arena-fastapi\backend\app\services\solution_service.py", "Python", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 3, 28, 120
"d:\vscodeProjects\arena-fastapi\backend\app\services\task_service.py", "Python", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 11, 46, 236
"d:\vscodeProjects\arena-fastapi\backend\app\services\user_service.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"d:\vscodeProjects\arena-fastapi\backend\app\services\verification_service.py", "Python", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 19, 61
"d:\vscodeProjects\arena-fastapi\backend\app\worker\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vscodeProjects\arena-fastapi\backend\app\worker\cache.py", "Python", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\vscodeProjects\arena-fastapi\backend\app\worker\celery_app.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\vscodeProjects\arena-fastapi\backend\app\worker\executor.py", "Python", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 12, 29, 133
"d:\vscodeProjects\arena-fastapi\backend\app\worker\executor_docker.py", "Python", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 9, 14, 79
"d:\vscodeProjects\arena-fastapi\backend\app\worker\paths.py", "Python", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 8, 28
"d:\vscodeProjects\arena-fastapi\backend\app\worker\redis_client.py", "Python", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\vscodeProjects\arena-fastapi\backend\app\worker\tasks.py", "Python", 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 51, 64, 319
"d:\vscodeProjects\arena-fastapi\backend\app\worker\utils.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\vscodeProjects\arena-fastapi\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 8, 17
"d:\vscodeProjects\arena-fastapi\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\vscodeProjects\arena-fastapi\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\vscodeProjects\arena-fastapi\frontend\package-lock.json", "JSON", 2978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2979
"d:\vscodeProjects\arena-fastapi\frontend\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\vscodeProjects\arena-fastapi\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\vscodeProjects\arena-fastapi\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"d:\vscodeProjects\arena-fastapi\frontend\src\api\admin.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\vscodeProjects\arena-fastapi\frontend\src\api\auth.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 11, 6, 42
"d:\vscodeProjects\arena-fastapi\frontend\src\api\client.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 8, 30
"d:\vscodeProjects\arena-fastapi\frontend\src\api\contests.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 48
"d:\vscodeProjects\arena-fastapi\frontend\src\api\solutions.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\vscodeProjects\arena-fastapi\frontend\src\api\tasks.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 13, 64
"d:\vscodeProjects\arena-fastapi\frontend\src\api\users.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\vscodeProjects\arena-fastapi\frontend\src\assets\icons.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"d:\vscodeProjects\arena-fastapi\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\vscodeProjects\arena-fastapi\frontend\src\components\ContestCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 3, 21, 145
"d:\vscodeProjects\arena-fastapi\frontend\src\components\LoginModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 2, 21, 133
"d:\vscodeProjects\arena-fastapi\frontend\src\components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 5, 75
"d:\vscodeProjects\arena-fastapi\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 5, 17, 171
"d:\vscodeProjects\arena-fastapi\frontend\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"d:\vscodeProjects\arena-fastapi\frontend\src\components\RatingTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 2, 9, 93
"d:\vscodeProjects\arena-fastapi\frontend\src\components\RegisterContestModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 14, 99
"d:\vscodeProjects\arena-fastapi\frontend\src\components\RegisterModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 2, 29, 289
"d:\vscodeProjects\arena-fastapi\frontend\src\components\SubmissionsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 7, 73
"d:\vscodeProjects\arena-fastapi\frontend\src\components\SubmitModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 14, 94
"d:\vscodeProjects\arena-fastapi\frontend\src\components\SubmitTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 6, 21, 175
"d:\vscodeProjects\arena-fastapi\frontend\src\components\TaskItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 9, 84
"d:\vscodeProjects\arena-fastapi\frontend\src\components\TasksTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 1, 12, 116
"d:\vscodeProjects\arena-fastapi\frontend\src\hooks\useAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vscodeProjects\arena-fastapi\frontend\src\index.css", "PostCSS", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 10, 81
"d:\vscodeProjects\arena-fastapi\frontend\src\layouts\MainLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\vscodeProjects\arena-fastapi\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\AdminPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 2, 24, 170
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\Archive.jsx", "JavaScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 6, 28, 201
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\ContestMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 4, 36, 224
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\Contests.jsx", "JavaScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 3, 29, 199
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\CreateContest.jsx", "JavaScript JSX", 0, 0, 0, 0, 404, 0, 0, 0, 0, 0, 16, 50, 470
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\CreateTask.jsx", "JavaScript JSX", 0, 0, 0, 0, 282, 0, 0, 0, 0, 0, 14, 33, 329
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\Drafts.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 68
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\EditTask.jsx", "JavaScript JSX", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 13, 42, 246
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 4, 20, 155
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\MySubmissions.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 3, 15, 124
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\OrganizerHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 3, 23, 163
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 3, 20, 131
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\StudentHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 3, 23, 157
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\Task.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 4, 21, 132
"d:\vscodeProjects\arena-fastapi\frontend\src\pages\Tasks.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 3, 36, 196
"d:\vscodeProjects\arena-fastapi\frontend\src\styles\global.css", "PostCSS", 0, 0, 949, 0, 0, 0, 0, 0, 0, 0, 38, 208, 1195
"d:\vscodeProjects\arena-fastapi\frontend\src\utils\contestUtils.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 36, 16, 101
"d:\vscodeProjects\arena-fastapi\frontend\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\vscodeProjects\arena-fastapi\package-lock.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\vscodeProjects\arena-fastapi\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\vscodeProjects\arena-fastapi\requirements.txt", "pip requirements", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"Total", "-", 3042, 39, 1019, 225, 3938, 2999, 123, 13, 2, 9, 591, 1661, 13661
